FAA ID,AIRPORT NAME,LOCATION,ST,PROCEDURE NAME,LPV or LP,DA OR MDA,VIS,HAT,GPA,TCH,ILS to Rwy (Y/N),Rwy End Cntr,ILS @ Arpt (Y/N),ILS Arpt Cntr (Y/N),ILS CAT II or III,WAAS CHANNEL #
06N,RANDALL,MIDDLETOWN,NY,RNAV (GPS) RWY 26,LP,1020,1,497,,,N,1,N,N,,40030
AST,ASTORIA RGNL,ASTORIA,OR,RNAV (GPS) RWY 08,LP,420,1,406,,,N,1,Y,Y,,40032
C62,KENDALLVILLE MUNI,KENDALLVILLE,IN,RNAV (GPS) RWY 10,LP,1336,1,361,,,N,1,N,N,,40035
K62,GENE SNYDER,FALMOUTH,KY,RNAV (GPS) RWY 21,LP,1340,1,455,,,N,1,N,N,,40036
ORS,ORCAS ISLAND,EASTSOUND,WA,RNAV (GPS) RWY 16,LP,340,1,305,,,N,1,N,N,,40038
ORS,ORCAS ISLAND,EASTSOUND,WA,RNAV (GPS) RWY 16,LP,400,1,365,,,N,1,N,,,40038
COS,CITY OF COLORADO SPRINGS MUNI,COLORADO SPRINGS,CO,RNAV (GPS) RWY 31,LP,6440,1,284,,,N,1,Y,Y,,40040
67L,MESQUITE,MESQUITE,NV,RNAV (GPS) Y RWY 02,LP,4020,1 1/4,2084,,,N,1,N,N,,40043
RRQ,ROCK RAPIDS MUNI,ROCK RAPIDS,IA,RNAV (GPS) RWY 34 AMDT 1,LP,1960,1,597,,,N,1,N,N,,40044
GLS,SCHOLES INTL AT GALVESTON,GALVESTON,TX,RNAV (GPS) RWY 32,LP,340,1,335,,,N,1,Y,Y,,40101
MCW,MASON CITY MUNI,MASON CITY,IA,RNAV (GPS) RWY 30,LP,1680,1,484,,,N,1,Y,Y,,40122
JTC,SPRINGERVILLE MUNI,SPRINGERVILLE,AZ,RNAV (GPS) RWY 21,LP,7520,1,688,,,N,1,N,N,,40124
SHG,SHUNGNAK,SHUNGNAK,AK,RNAV (GPS) RWY 27,LP,540,1,343,,,N,1,N,N,,40126
20N,KINGSTON-ULSTER,KINGSTON,NY,RNAV (GPS) RWY 15,LP,720,1,573,,,N,1,N,N,,40136
4X4,WESSINGTON SPRINGS,WESSINGTON SPRINGS,SD,RNAV (GPS) RWY 30,LP,1880,1,340,,,N,1,N,N,,40141
ELP,EL PASO INTL,EL PASO,TX,RNAV (GPS) Y RWY 26L,LP,4280, 3/4,318,,,N,1,Y,Y,,40223
ETN,EASTLAND MUNI,EASTLAND,TX,RNAV (GPS) RWY 17,LP,2040,1,572,,,N,1,N,N,,40224
FOZ,BIGFORK MUNI,BIGFORK,MN,RNAV (GPS) RWY 33,LP,1860,1,514,,,N,1,N,N,,40226
RVJ,SWINTON SMITH FLD AT REIDSVILLE MUNI,REIDSVILLE,GA,RNAV (GPS) RWY 11,LP,580,1,389,,,N,1,N,N,,40227
ELA,EAGLE LAKE,EAGLE LAKE,TX,RNAV (GPS) RWY 17,LP,580,1,396,,,N,1,N,N,,40229
TTN,TRENTON MERCER,TRENTON,NJ,RNAV (GPS) RWY 34,LP,520,1,318,,,N,1,Y,Y,,40230
9G3,AKRON,AKRON,NY,RNAV (GPS) RWY 25,LP,1240,1,400,,,N,1,N,N,,40233
4M1,CARROLL COUNTY,BERRYVILLE,AR,RNAV (GPS) RWY 07,LP,1660,1,457,,,N,1,N,N,,40242
X07,LAKE WALES MUNI,LAKE WALES,FL,RNAV (GPS) RWY 24,LP,580,1,453,,,N,1,N,N,,40323
L39,LEESVILLE,LEESVILLE,LA,RNAV (GPS) RWY 36,LP,680,1,414,,,N,1,N,N,,40325
MKC,CHARLES B WHEELER DOWNTOWN,KANSAS CITY,MO,RNAV (GPS) RWY 21,LP,1160,1,416,,,N,1,Y,Y,,40327
X23,UMATILLA MUNI,UMATILLA,FL,RNAV (GPS) RWY 19,LP,600,1,493,,,N,1,N,N,,40334
61C,FORT ATKINSON MUNI,FORT ATKINSON,WI,RNAV (GPS) RWY 03,LP,1200,1,400,,,N,1,N,N,,40342
PAQ,"WARREN ""BUD"" WOODS PALMER MUNI",PALMER,AK,RNAV (GPS) RWY 10,LP,760,1,527,,,N,1,N,N,,40425
0G6,WILLIAMS COUNTY,BRYAN,OH,RNAV (GPS) RWY 25,LP,1120,1,390,,,N,1,N,N,,40427
IWS,WEST HOUSTON,HOUSTON,TX,RNAV (GPS) RWY 15,LP,540,1,429,,,N,1,N,N,,40429
OME,NOME,NOME,AK,RNAV (GPS) RWY 10,LP,340,1,324,,,N,1,Y,Y,,40434
54J,DEFUNIAK SPRINGS,DEFUNIAK SPRINGS,FL,RNAV (GPS) RWY 09,LP,620,1,331,,,N,1,N,N,,40441
7W6,HYDE COUNTY,ENGLEHARD,NC,RNAV (GPS) RWY 11 ORIG,LP,360,1,354,,,N,1,N,N,,40442
4N1,GREENWOOD LAKE,WEST MILFORD,NJ,RNAV (GPS) RWY 24,LP,1160,1,370,,,N,1,N,N,,42525
SCM,SCAMMON BAY,SCAMMON BAY,AK,RNAV (GPS) RWY 28,LP,900,1 1/4,886,,,N,1,N,N,,42529
ETH,WHEATON MUNI,WHEATON,MN,RNAV (GPS) RWY 16,LP,1340,1,323,,,N,1,N,N,,42530
3R9,LAKEWAY AIRPARK,LAKEWAY,TX,RNAV (GPS) RWY 16,LP,1340,1,437,,,N,1,N,N,,42531
N96,BELLEFONTE,BELLEFONTE,PA,RNAV (GPS) RWY 07,LP,1540,1,468,,,N,1,N,N,,42534
0I8,CYNTHIANA-HARRISON COUNTY,CYNTHIANA,KY,RNAV (GPS) RWY 29,LP,1240,1,519,,,N,1,N,N,,42537
PCZ,WAUPACA MUNI,WAUPACA,WI,RNAV (GPS) RWY 28,LP,1260,1,433,,,N,1,N,N,,42621
CDW,ESSEX COUNTY,CALDWELL,NJ,RNAV (GPS) RWY 04,LP,620,1,448,,,N,1,N,N,,42622
UBX,CUBA MUNI,CUBA,MO,RNAV (GPS) RWY 36,LP,1480,1,457,,,N,1,N,N,,42624
MDO,MIDDLETON ISLAND,MIDDLETON ISLAND,AK,RNAV (GPS) RWY 20,LP,420,1,320,,,N,1,N,N,,42627
PUB,PUEBLO MEMORIAL,PUEBLO,CO,RNAV (GPS) RWY 35,LP,4980,1,303,,,N,1,Y,Y,,42721
9G0,BUFFALO AIRFIELD,BUFFALO,NY,RNAV (GPS) RWY 24,LP,1160,1,489,,,N,1,N,N,,42724
CDB,COLD BAY,COLD BAY,AK,RNAV (GPS) RWY 26,LP,500,1,400,,,N,1,Y,Y,,42730
CDB,COLD BAY,COLD BAY,AK,RNAV (GPS) RWY 26,LP,660,1,560,,,N,1,Y,,,42730
05U,EUREKA,EUREKA,NV,RNAV (GPS) RWY 18,LP,6360,1,416,,,N,1,N,N,,42732
05U,EUREKA,EUREKA,NV,RNAV (GPS) RWY 18,LP,7660,1 1/4,1716,,,N,1,N,,,42732
4J5,QUITMAN BROOKS COUNTY,QUITMAN,GA,RNAV (GPS) RWY 10,LP,740,1,558,,,N,1,N,N,,42734
6Y1,BOIS BLANC ISLAND,BOIS BLANC ISLAND,MI,RNAV (GPS) RWY 28,LP,1040,1,376,,,N,1,N,N,,42735
C73,DIXON MUNI-CHARLES R WALGREEN FIELD,DIXON,IL,RNAV (GPS) RWY 08,LP,1440,1,658,,,N,1,N,N,,42821
KY8,HANCOCK CO-RON LEWIS FIELD,LEWISPORT,KY,RNAV (GPS) RWY 05,LP,1020,1,610,,,N,1,N,N,,42824
E19,GRUVER MUNI,GRUVER,TX,RNAV (GPS) RWY 20,LP,3720,1,533,,,N,1,N,N,,42826
GYR,PHOENIX GOODYEAR,GOODYEAR,AZ,RNAV (GPS) RWY 03,LP,1340,1,386,,,N,1,N,N,,42839
C20,ANDREWS UNIVERSITY AIRPARK,BERRIEN SPRINGS,MI,RNAV (GPS) RWY 31,LP,1100,1,431,,,N,1,N,N,,42840
9V9,CHAMBERLAIN MUNI,CHAMBERLAIN,SD,RNAV (GPS) RWY 13,LP,2080,1,384,,,N,1,N,N,,42841
BKW,RALEIGH COUNTY MEMORIAL,BECKLEY,WV,RNAV (GPS) RWY 28,LP,3320,1,816,,,N,1,Y,Y,,42923
TPH,TONOPAH,TONOPAH,NV,RNAV (GPS) RWY 15,LP,5740,1,310,,,N,1,N,N,,42924
MQY,SMYRNA,SMYRNA,TN,RNAV (GPS) RWY 19,LP,880,1,359,,,N,1,Y,Y,,42932
K89,MACON-FOWER MEMORIAL,MACON,MO,RNAV (GPS) RWY 20,LP,1340,1,466,,,N,1,N,N,,42933
SCR,SILER CITY MUNI,SILER CITY,NC,RNAV (GPS) RWY 04,LP,1000,1,395,,,N,1,N,N,,42935
WSN,SOUTH NAKNEK NR 2,SOUTH NAKNEK,AK,RNAV (GPS) RWY 13,LP,480,1,320,,,N,1,N,N,N,42937
H79,ELDON MODEL AIRPARK,ELDON,MO,RNAV (GPS) RWY 18,LP,1340,1,423,,,N,1,N,N,,45530
IAG,NIAGARA FALLS INTL,NIAGARA FALLS,NY,RNAV (GPS) Z RWY 24,LP,1000,1,408,,,N,,Y,Y,,45532
RMY,BROOKS FIELD,MARSHALL,MI,RNAV (GPS) RWY 28,LP,1300,1,359,,,N,1,N,N,,45533
LLU,LAMAR MUNI,LAMAR,MO,RNAV (GPS) RWY 03,LP,1380,1,373,,,N,1,N,N,,45536
LAS,MC CARRAN INTL,LAS VEGAS,NV,RNAV (GPS) RWY 19L,LP,2640,1,528,,,N,1,Y,Y,,45542
MTN,MARTIN STATE,BALTIMORE,MD,RNAV (GPS) RWY 15,LP,500,1,479,,,N,1,N,N,,45622
LIT,BILL AND HILLARY CLINTON NATIONAL/ADAMS FIELD,LITTLE ROCK,AR,RNAV (GPS) RWY 18,LP,720,1,461,,,N,1,Y,Y,,45624
OKC,WILL ROGERS WORLD,OKLAHOMA CITY,OK,RNAV (GPS) RWY 13,LP,1640,1,361,,,N,1,Y,Y,,45625
BLH,BLYTHE,BLYTHE,CA,RNAV (GPS) RWY 26,LP,800,1,404,,,N,1,N,N,,45626
BLH,BLYTHE,BLYTHE,CA,RNAV (GPS) RWY 26,LP,1940,1 1/4,1544,,,N,1,N,,,45626
AEJ,CENTRAL COLORADO RGNL,BUENA VISTA,CO,RNAV (GPS) RWY 33,LP,8960,1 1/2,1034,,,N,1,N,N,,45635
AEJ,CENTRAL COLORADO RGNL,BUENA VISTA,CO,RNAV (GPS) RWY 33,LP,9840,1 1/2,1914,,,N,1,N,,,45635
DTA,DELTA MUNI,DELTA,UT,RNAV (GPS) RWY 17,LP,5080,1,321,,,N,1,N,N,,45724
TZT,BELLE PLAINE MUNI,BELLE PLAINE,IA,RNAV (GPS) RWY 18,LP,1280,1,509,,,N,1,N,N,,45727
TKV,TOMAHAWK RGNL,TOMAHAWK,WI,RNAV (GPS) RWY 27,LP,1840,1,353,,,N,1,N,N,,45728
ELA,EAGLE LAKE,EAGLE LAKE,TX,RNAV (GPS) RWY 35,LP,720,1,536,,,N,1,N,,,45729
HEZ,HARDY-ANDERS FIELD NATCHEZ-ADAMS COUNTY,NATCHEZ,MS,RNAV (GPS) RWY 18,LP,620,1,348,,,N,1,N,N,,45734
EBA,ELBERT COUNTY-PATZ FIELD,ELBERTON,GA,RNAV (GPS) RWY 29,LP,980,1,377,,,N,1,N,N,,45735
LRG,LINCOLN RGNL,LINCOLN,ME,RNAV (GPS) RWY 35,LP,1120,1 1/4,912,,,N,1,N,N,,45736
PMD,PALMDALE USAF PLANT 42,PALMDALE,CA,RNAV (GPS) RWY 22,LP,2780,1 1/4,282,,,N,1,Y,Y,,45741
CNK,BLOSSER MUNI,CONCORDIA,KS,RNAV (GPS) RWY 17,LP,1800,1,319,,,N,1,N,N,,45827
MWO,MIDDLETOWN REGIONAL/HOOK FIELD,MIDDLETOWN  ,OH,RNAV (GPS) RWY 05,LP,1140,1,495,,,N,1,N,N,,45829
CGC,CRYSTAL RIVER-CAPTAIN TOM DAVIS FLD,CRYSTAL RIVER,FL,RNAV (GPS) RWY 09,LP,420,1,411,,,N,1,N,N,,45834
61C,FORT ATKINSON MUNI,FORT ATKINSON,WI,RNAV (GPS) RWY 21,LP,1240,1,440,,,N,1,N,,,45842
CKC,GRAND MARAIS/COOK COUNTY,GRAND MARAIS,MN,RNAV (GPS) RWY 10,LP,2200,1,297,,,N,1,N,N,,45920
GKJ,PORT MEADVILLE,MEADVILLE,PA,RNAV (GPS) RWY 25,LP,2020,1,621,,,N,1,N,N,,45924
W96,NEW KENT COUNTY,QUINTON,VA,RNAV (GPS) RWY 11,LP,540,1,419,,,N,1,N,N,,45932
CCB,CABLE,UPLAND,CA,RNAV (GPS) RWY 06,LP,1780,1,350,,,N,1,N,N,,45934
HVN,TWEED-NEW HAVEN,NEW HAVEN,CT,RNAV (GPS) RWY 20,LP,540,1,530,,,N,1,Y,Y,,45937
SXQ,SOLDOTNA,SOLDOTNA,AK,RNAV (GPS) RWY 7 AMDT 1,LP,480,1,378,,,N,1,N,N,,45942
LVM,MISSION FIELD,LIVINGSTON,MT,RNAV (GPS) RWY 22,LP,5260,1,614,,,N,1,N,N,,48824
HDN,YAMPA VALLEY,HAYDEN,CO,RNAV (GPS) RWY 28,LP,7000,1,394,,,N,1,Y,Y,,48825
GDW,GLADWIN ZETTEL MEMORIAL,GLADWIN,MI,RNAV (GPS) RWY 09,LP,1440,1,666,,,N,1,N,N,,48826
DIJ,DRIGGS-REED MEMORIAL,DRIGGS,ID,RNAV (GPS) RWY 04,LP,6500,1,321,,,N,1,N,N,,48827
X35,MARION COUNTY,DUNNELLON,FL,RNAV (GPS) RWY 23,LP,500,1,435,,,N,1,N,N,,48828
GLS,SCHOLES INTL AT GALVESTON,GALVESTON,TX,RNAV (GPS) RWY 36,LP,440,1,435,,,N,1,Y,,,48831
HHF,HEMPHILL COUNTY,CANADIAN,TX,RNAV (GPS) RWY 22,LP,2800,1,418,,,N,1,N,N,,48837
GHM,CENTERVILLE MUNI,CENTERVILLE,TN,RNAV (GPS) RWY 20,LP,1160,1,395,,,N,1,N,N,,48838
02A,CHILTON COUNTY,CLANTON,AL,RNAV (GPS) RWY 26,LP,1100,1,525,,,N,1,N,N,,48839
KGX,GRAYLING,GRAYLING,AK,RNAV (GPS) RWY 35,LP,700,1,562,,,N,1,N,N,,48840
I10,NOBLE COUNTY,CALDWELL,OH,RNAV (GPS) RWY 23,LP,1580,1,702,,,N,1,N,N,,48841
1F0,ARDMORE DOWNTOWN EXECUTIVE,ARDMORE,OK,RNAV (GPS) RWY 17,LP,1360,1,520,,,N,1,N,N,,48921
ORT,NORTHWAY,NORTHWAY,AK,RNAV (GPS) RWY 23,LP,2120,1,407,,,N,1,N,N,,48924
SEF,SEBRING RGNL,SEBRING,FL,RNAV (GPS) RWY 32,LP,420,1,363,,,N,1,N,N,,48925
SLK,ADIRONDACK RGNL,SARANAC LAKE,NY,RNAV (GPS) RWY 05,LP,2420,1,780,,,N,1,Y,Y,,48926
81B,OXFORD COUNTY RGNL,OXFORD,ME,RNAV (GPS) RWY 15,LP,900,1,555,,,N,1,N,N,,48929
K15,GRAND GLAIZE-OSAGE BEACH,OSAGE BEACH,MO,RNAV (GPS) RWY 14,LP,1300,1,424,,,N,1,N,N,,48932
LYH,LYNCHBURG RGNL/PRESTON GLENN FLD,LYNCHBURG,VA,RNAV (GPS) RWY 17,LP,1320,1,387,,,N,1,Y,Y,,48934
77F,WINTERS MUNI,WINTERS,TX,RNAV (GPS) RWY 35,LP,2240,1,369,,,N,1,N,N,,49022
X07,LAKE WALES MUNI,LAKE WALES,FL,RNAV (GPS) RWY 06,LP,500,1,373,,,N,1,N,,,49023
IPT,WILLIAMSPORT RGNL,WILLIAMSPORT,PA,RNAV (GPS) RWY 12,LP,1100,1,572,,,N,1,Y,Y,,49024
SUW,RICHARD I BONG,SUPERIOR,WI,RNAV (GPS) RWY 14,LP,1000,1,326,,,N,1,N,N,,49029
GTG,GRANTSBURG MUNI,GRANTSBURG,WI,RNAV (GPS) RWY 30,LP,1320,1,393,,,N,1,N,N,,49033
AND,ANDERSON RGNL,ANDERSON,SC,RNAV (GPS) RWY 17,LP,1200,1,418,,,N,1,Y,Y,,49034
MQY,SMYRNA,SMYRNA,TN,RNAV (GPS) RWY 14,LP,1020,1,477,,,N,1,Y,,,49036
N12,LAKEWOOD,LAKEWOOD,NJ,RNAV (GPS) RWY 06,LP,380,1,339,,,N,1,N,N,,49038
CUB,JIM HAMILTON L B OWENS,COLUMBIA,SC,RNAV (GPS) RWY 13,LP,780,1,587,,,N,1,N,N,,49042
ANJ,SAULT STE MARIE MUNI/SANDERSON FIELD,SAULT STE MARIE,MI,RNAV (GPS) RWY 32,LP,1040,1,324,,,N,1,N,N,,49122
PBH,PRICE COUNTY,PHILLIPS,WI,RNAV (GPS) RWY 06,LP,1840,1,369,,,N,1,N,N,,49126
82C,MAUSTON-NEW LISBON UNION,NEW LISBON,WI,RNAV (GPS) RWY 32,LP,1280,1,375,,,N,1,N,N,,49129
OIC,LT WARREN EATON,NORWICH,NY,RNAV (GPS) RWY 19,LP,1700,1,676,,,N,1,N,N,,49136
SEG,PENN VALLEY,SELINSGROVE,PA,RNAV (GPS) RWY 35,LP,1200,1,755,,,N,1,N,N,,49139
HKY,HICKORY RGNL,HICKORY,NC,RNAV (GPS) RWY 01,LP,1580,1,426,,,N,1,Y,Y,,49221
SJN,ST JOHNS INDUSTRIAL AIR PARK,ST JOHNS,AZ,RNAV (GPS) RWY 14,LP,6140,1,406,,,N,1,N,N,,49224
PWM,PORTLAND INTL JETPORT,PORTLAND,ME,RNAV (GPS) RWY 36,LP,460,1,411,,,N,1,Y,Y,,49225
DLN,DILLON,DILLON,MT,RNAV (GPS) RWY 35,LP,5600,1,355,,,N,1,N,N,,49227
RUT,RUTLAND - SOUTHERN VERMONT RGNL,RUTLAND,VT,RNAV (GPS) RWY 01,LP,2420,1 1/4,1633,,,N,1,Y,Y,,50141
LAS,MC CARRAN INTL,LAS VEGAS,NV,RNAV (GPS) RWY 19R,LP,2700,1,583,,,N,1,Y,,,50142
6P7,MCVILLE,FREEPORT,PA,RNAV (GPS) RWY 32,LP,1840,1,735,,,N,1,N,N,,50143
SLH,CHEBOYGAN COUNTY,CHEBOYGAN,MI,RNAV (GPS) RWY 10,LP,1060,1,420,,,N,1,N,N,,50224
OKC,WILL ROGERS WORLD,OKLAHOMA CITY,OK,RNAV (GPS) RWY 31,LP,1680,1,394,,,N,1,Y,,,50225
SHG,SHUNGNAK,SHUNGNAK,AK,RNAV (GPS) RWY 09,LP,480,1,314,,,N,1,N,,,50226
71J,OZARK-BLACKWELL FIELD,OZARK,AL,RNAV (GPS) RWY 13,LP,900,1,542,,,N,1,N,N,,50232
FFA,FIRST FLIGHT,KILL DEVIL HILLS,NC,RNAV (GPS) RWY 21,LP,460,1,448,,,N,1,N,N,,50240
FYJ,MIDDLE PENINSULA RGNL,WEST POINT,VA,RNAV (GPS) RWY 28,LP,420,1,400,,,N,1,N,N,,50323
IWA,PHOENIX-MESA GATEWAY,PHOENIX,AZ,RNAV (GPS) RWY 12R,LP,1740,1,391,,,N,1,Y,Y,,50325
N98,BOYNE CITY MUNI,BOYNE CITY,MI,RNAV (GPS) RWY 27,LP,1460,1,801,,,N,1,N,N,,50326
MRT,UNION COUNTY,MARYSVILLE,OH,RNAV (GPS) RWY 27,LP,1360,1,345,,,N,1,N,N,,50327
FYV,DRAKE FIELD,FAYETTEVILLE,AR,RNAV (GPS) RWY 34,LP,2120,1,882,,,N,1,N,N,,50330
94K,CASSVILLE MUNI,CASSVILLE,MO,RNAV (GPS) RWY 27,LP,1920,1,448,,,N,1,N,N,,50331
GZH,EVERGREEN RGNL/MIDDLETON FIELD,EVERGREEN,AL,RNAV (GPS) RWY 10,LP,740,1,481,,,N,1,N,N,,50332
MO3,STOCKTON MUNI,STOCKTON,MO,RNAV (GPS) RWY 19,LP,1460,1,423,,,N,1,N,N,,50334
SMO,SANTA MONICA MUNI,SANTA MONICA,CA,RNAV (GPS) Y RWY 03,LP,460,1,296,,,N,1,N,N,,50339
SMO,SANTA MONICA MUNI,SANTA MONICA,CA,RNAV (GPS) Y RWY 03,LP,920,1,756,,,N,1,N,,,50339
HTF,HORNELL MUNI,HORNELL,NY,RNAV (GPS) RWY 18,LP,2200,1 1/4,987,,,N,1,N,N,,50425
BMC,BRIGHAM CITY,BRIGHAM CITY,UT,RNAV (GPS) RWY 35,LP,4660,1,430,,,N,1,N,N,,50426
N40,SKY MANOR,PITTSTOWN,NJ,RNAV (GPS) RWY 25,LP,1080,1,522,,,N,1,N,N,,50427
29D,GROVE CITY,GROVE CITY,PA,RNAV (GPS) RWY 10,LP,1840,1,470,,,N,1,N,N,,50432
5C1,BOERNE STAGE FIELD,SAN ANTONIO,TX,RNAV (GPS) RWY 17,LP,1840,1,456,,,N,1,N,N,,50528
JBR,JONESBORO MUNI,JONESBORO,AR,RNAV (GPS) RWY 31,LP,560,1,309,,,N,1,Y,Y,,50531
MFI,MARSHFIELD MUNI,MARSHFIELD,WI,RNAV (GPS) RWY 05,LP,1640,1,382,,,N,1,N,N,,50532
TRK,TRUCKEE-TAHOE,TRUCKEE,CA,RNAV (GPS) Y RWY 20,LP,7400,1 1/4,1509,,,N,1,N,N,,50535
ISQ,SCHOOLCRAFT COUNTY,MANISTIQUE,MI,RNAV (GPS) RWY 28,LP,1020,1,347,,,N,1,N,N,,52527
BTP,BUTLER COUNTY/K W SCHOLTER FIELD,BUTLER,PA,RNAV (GPS) RWY 26,LP,1660,1,412,,,N,1,N,N,,53327
FIG,CLEARFIELD-LAWRENCE,CLEARFIELD,PA,RNAV (GPS) RWY 12,LP,2160,1,650,,,N,1,N,N,,53329
HII,LAKE HAVASU CITY,LAKE HAVASU CITY,AZ,RNAV (GPS) RWY 14,LP,2140,3,1391,,,N,1,N,N,,53330
98D,ONIDA MUNI,ONIDA,SD,RNAV (GPS) RWY 13,LP,2140,1,261,,,N,1,N,N,,53341
22N,JAKE ARNER MEMORIAL,LEHIGHTON,PA,RNAV (GPS) RWY 26,LP,1380,1,846,,,N,1,N,N,,53421
8F3,CROSBYTON MUNI,CROSBYTON,TX,RNAV (GPS) RWY 35,LP,3440,1,423,,,N,1,N,N,,53423
47N,CENTRAL JERSEY RGNL,MANVILLE,NJ,RNAV (GPS) RWY 25,LP,480,1,395,,,N,1,N,N,,53424
5A6,WINONA-MONTGOMERY COUNTY,WINONA,MS,RNAV (GPS) RWY 21,LP,860,1,496,,,N,1,N,N,,53431
49B,STURGIS MUNI,STURGIS,SD,RNAV (GPS) RWY 11,LP,3620,1,376,,,N,1,N,N,,53432
VNC,VENICE MUNI,VENICE,FL,RNAV (GPS) RWY 23,LP,360,1,342,,,N,1,N,N,,53433
PMD,PALMDALE USAF PLANT 42,PALMDALE,CA,RNAV (GPS) RWY 07,LP,2880,1,340,,,N,1,Y,,,53441
TOI,TROY MUNI AT N KENNETH CAMPBELL FIELD,TROY,AL,RNAV (GPS) RWY 32,LP,645,1,547,,,N,1,Y,Y,,53506
GST,GUSTAVUS,GUSTAVUS,AK,RNAV (GPS) RWY 29,LP,400,1,369,,,N,1,N,N,,53525
DKR,HOUSTON COUNTY,CROCKETT,TX,RNAV (GPS) RWY 02,LP,820,1,493,,,N,1,N,N,,53526
TEW,MASON JEWETT FIELD,MASON,MI,RNAV (GPS) RWY 28,LP,1300,1,382,,,N,1,N,N,,53534
HRR,HEALY RIVER,HEALY RIVER,AK,RNAV (GPS) RWY 15,LP,2120,1,845,,,N,1,N,N,,53539
HRR,HEALY RIVER,HEALY RIVER,AK,RNAV (GPS) RWY 15,LP,2240,1 1/4,965,,,N,1,N,,,53539
Y31,WEST BRANCH COMMUNITY,WEST BRANCH,MI,RNAV (GPS) RWY 27,LP,1200,1,323,,,N,1,N,N,,53541
6A8,ALLAKAKET,ALLAKAKET,AK,RNAV (GPS) RWY 23,LP,900,1,459,,,N,1,N,N,,53622
29D,GROVE CITY,GROVE CITY,PA,RNAV (GPS) RWY 28,LP,1760,1,412,,,N,1,N,,,53632
DVP,SLAYTON MUNI,SLAYTON,MN,RNAV (GPS) RWY 17,LP,2100,1,485,,,N,1,N,N,,53633
BUR,BOB HOPE,BURBANK,CA,RNAV (GPS) Z RWY 08,LP,1540,6000,813,,,Y,1,Y,Y,,53638
SME,LAKE CUMBERLAND RGNL,SOMERSET,KY,RNAV (GPS) RWY 23,LP,1580,1,653,,,N,1,Y,Y,,53641
MGW,MORGANTOWN MUNI-WALTER L BILL HART FLD,MORGANTOWN,WV,RNAV (GPS) RWY 36,LP,1640,1,396,,,N,1,Y,Y,,53642
TWM,RICHARD B HELGESON,TWO HARBORS,MN,RNAV (GPS) RWY 06,LP,1420,1,347,,,N,1,N,N,,53721
GKJ,PORT MEADVILLE,MEADVILLE,PA,RNAV (GPS) RWY 07,LP,1760,1,361,,,N,1,N,,,53724
ADM,ARDMORE MUNI,ARDMORE,OK,RNAV (GPS) RWY 13,LP,1360,1,583,,,N,1,Y,Y,,53725
PBH,PRICE COUNTY,PHILLIPS,WI,RNAV (GPS) RWY 24,LP,1900,1,428,,,N,1,N,,,53726
IKK,GREATER KANKAKEE,KANKAKEE,IL,RNAV (GPS) RWY 16,LP,1020,1,399,,,N,1,Y,Y,,56232
D95,DUPONT-LAPEER,LAPEER,MI,RNAV (GPS) RWY 18,LP,1180,1,345,,,N,1,N,N,,56234
S39,PRINEVILLE,PRINEVILLE,OR,RNAV (GPS) RWY 28,LP,3600,1 1/4,361,,,N,1,N,N,,56235
TOI,TROY MUNI AT N KENNETH CAMPBELL FIELD,TROY,AL,RNAV (GPS) RWY 14,LP,800,1,403,,,N,1,Y,,,56237
HEF,MANASSAS RGNL/HARRY P DAVIS FIELD,WASHINGTON,DC,RNAV (GPS) RWY 34L,LP,640,1,458,,,N,1,Y,Y,,56239
3S8,GRANTS PASS,GRANTS PASS,OR,RNAV (GPS) RWY 13,LP,1680,1,565,,,N,1,N,N,,56242
FIN,FLAGLER COUNTY,PALM COAST,FL,RNAV (GPS) RWY 29,LP,400,1,367,,,N,1,N,N,,56243
AZO,KALAMAZOO/BATTLE CREEK INTL,KALAMAZOO,MI,RNAV (GPS) RWY 05,LP,1280,1,406,,,N,1,Y,Y,,56321
DVN,DAVENPORT MUNI,DAVENPORT,IA,RNAV (GPS) RWY 33,LP,1160,1,412,,,N,1,Y,Y,,56324
AVQ,MARANA RGNL,MARANA,AZ,RNAV (GPS) RWY 21,LP,2340,1,315,,,N,1,N,N,,56325
CBG,CAMBRIDGE MUNI,CAMBRIDGE,MN,RNAV (GPS) RWY 34,LP,1320,1,381,,,N,1,N,N,,56328
LAM,LOS ALAMOS,LOS ALAMOS,NM,RNAV (GPS) Z RWY 27,LP,7580,1,454,,,N,1,N,N,,56329
LAM,LOS ALAMOS,LOS ALAMOS,NM,RNAV (GPS) Z RWY 27,LP,7700,1,574,,,N,1,N,,,56329
MNM,MENOMINEE-MARINETTE TWIN COUNTY,MENOMINEE,MI,RNAV (GPS) RWY 32,LP,1060,1,452,,,N,1,Y,Y,,56333
0D8,GETTYSBURG MUNI,GETTYSBURG,SD,RNAV (GPS) RWY 31,LP,2460,1,405,,,N,1,N,N,,56422
CPF,WENDELL H FORD,HAZARD,KY,RNAV (GPS) RWY 32,LP,1820,1,564,,,N,1,N,N,,56423
RQE,WINDOW ROCK,WINDOW ROCK,AZ,RNAV (GPS) RWY 02,LP,7380,1,678,,,N,1,N,N,,56424
GZH,EVERGREEN RGNL/MIDDLETON FIELD,EVERGREEN,AL,RNAV (GPS) RWY 19,LP,660,1,402,,,N,1,N,,,56432
