FAA ID,AIRPORT NAME,LOCATION,ST,PROCEDURE NAME,LPV or LP,DA OR MDA,VIS,HAT,GPA,TCH,ILS to Rwy (Y/N),Rwy End Cntr,ILS @ Arpt (Y/N),ILS Arpt Cntr (Y/N),ILS CAT II or III,WAAS CHANNEL #
DTW,DETROIT METROPOLITAN WAYNE COUNTY,DETROIT,MI,RNAV (GPS) Y RWY 22R,LPV,892,2400,250,3,55,Y,1,Y,Y,2,42939
DTW,DETROIT METROPOLITAN WAYNE COUNTY,DETROIT,MI,RNAV (GPS) PRM Y RWY 22R (CLOSE PARALLEL),LPV,892,2400,250,3,55,Y,,Y,,2,42939
7S1,TWIN BRIDGES,TWIN BRIDGES,MT,RNAV (GPS) RWY 35,LPV,5120,1 1/8,346,3,45,N,1,N,N,,42940
GFZ,GREENFIELD MUNI,GREENFIELD,IA,RNAV (GPS) RWY 07,LPV,1665,1,302,3,40,N,1,N,N,N,42941
FVE,NORTHERN AROOSTOOK RGNL,FRENCHVILLE,ME,RNAV (GPS) RWY 32 AMDT 2,LPV,1187,1,200,3,40,N,1,N,N,,42942
DAB,DAYTONA BEACH INTL,DAYTONA BEACH,FL,RNAV (GPS) RWY 07L,LPV,228,4000,200,3,58,Y,1,Y,,,45500
CSG,COLUMBUS,COLUMBUS ,GA,RNAV (GPS) RWY 24,LPV,740,1 1/8,349,3,50,N,1,Y,,,45501
CWF,CHENNAULT INTL,LAKE CHARLES,LA,RNAV (GPS) RWY 15,LPV,216, 1/2,200,3,55,Y,1,Y,Y,,45502
TLH,TALLAHASSEE INTL,TALLAHASSEE,FL,RNAV (GPS) RWY 09,LPV,400,6000,335,3,58,N,1,Y,Y,,45503
PNE,NORTHEAST PHILADELPHIA,PHILADELPHIA,PA,RNAV (GPS) RWY 24,LPV,315, 1/2,200,3,53,Y,1,Y,Y,,45504
EOK,KEOKUK MUNI,KEOKUK,IA,RNAV (GPS) RWY 26,LPV,924, 3/4,254,3,40,Y,1,Y,,,45505
ISM,KISSIMMEE GATEWAY,ORLANDO,FL,RNAV (GPS) RWY 15,LPV,282, 3/4,200,3,51,Y,1,Y,,,45507
OWB,OWENSBORO-DAVIESS COUNTY RGNL,OWENSBORO,KY,RNAV (GPS) RWY 36,LPV,601, 1/2,200,3,56,Y,1,Y,,,45508
AYS,WAYCROSS-WARE COUNTY,WAYCROSS,GA,RNAV (GPS) RWY 19,LPV,340, 1/2,200,3,51,Y,1,Y,Y,,45509
PHF,NEWPORT NEWS/WILLIAMSBURG INTL,NEWPORT NEWS ,VA,RNAV (GPS) RWY 25,LPV,241, 3/4,200,3,55,Y,1,Y,Y,,45510
FAY,FAYETTEVILLE RGNL/GRANNIS FIELD,FAYETTEVILLE,NC,RNAV (GPS) RWY 22,LPV,380, 3/4,200,3,48,N,1,Y,Y,,45511
DIK,DICKINSON - THEODORE ROOSEVELT RGNL,DICKINSON,ND,RNAV (GPS) RWY 32,LPV,2791, 1/2,200,3,59,Y,1,Y,,,45512
ACY,ATLANTIC CITY INTL,ATLANTIC CITY,NJ,RNAV (GPS) Y RWY 13,LPV,275,1800,200,3,58,Y,1,Y,Y,,45513
