tail_number,date,aircraft,origin_code,origin,destination_code,destination,departure,arrival,duration,distance_mi,Owner,origin_Latitude,origin_Longitude,destination_Latitude,destination_Longitude,airport_origin,city_origin,origin_state,country_origin,airport_destination,city_destination,destination_state,country_destination,departure_shift,arrival_shift,duration_min,day_name,weekends
N481HC,2021-02-03,BE20,K74V,Roosevelt Muni (74V),KSLC,Salt Lake City Intl (KSLC),04:44AM MST,05:19AM MST,0:35,107.37806622712841,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.278301,-110.051003,40.78839874267578,-111.97799682617188,Roosevelt Municipal Airport,Roosevelt,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,night,night,35,Wednesday,0
N481HC,2021-02-03,BE20,KSLC,Salt Lake City Intl (KSLC),K74V,Roosevelt Muni (74V),03:01AM MST,03:27AM MST,0:25,107.37806622712841,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,40.278301,-110.051003,Salt Lake City International Airport,Salt Lake City,UT,US,Roosevelt Municipal Airport,Roosevelt,UT,US,night,night,25,Wednesday,0
N481HC,2021-02-02,BE20,KCDC,Cedar City Rgnl (KCDC),KSLC,Salt Lake City Intl (KSLC),05:20PM MST,06:04PM MST,0:43,221.30324543251956,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.70100021362305,-113.0989990234375,40.78839874267578,-111.97799682617188,Cedar City Regional Airport,Cedar City,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,43,Tuesday,0
N481HC,2021-02-02,BE20,KSLC,Salt Lake City Intl (KSLC),KCDC,Cedar City Rgnl (KCDC),03:14PM MST,04:08PM MST,0:53,221.30324543251956,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,37.70100021362305,-113.0989990234375,Salt Lake City International Airport,Salt Lake City,UT,US,Cedar City Regional Airport,Cedar City,UT,US,day,day,53,Tuesday,0
N481HC,2021-02-02,BE20,KRXE,Rexburg-Madison County (KRXE),KSLC,Salt Lake City Intl (KSLC),09:30AM MST,10:24AM MST,0:53,210.39168908793883,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",43.8339,-111.805002,40.78839874267578,-111.97799682617188,Rexburg Madison County Airport,Rexburg,ID,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,53,Tuesday,0
N481HC,2021-02-02,BE20,KSLC,Salt Lake City Intl (KSLC),KRXE,Rexburg-Madison County (KRXE),07:33AM MST,08:18AM MST,0:45,210.39168908793883,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,43.8339,-111.805002,Salt Lake City International Airport,Salt Lake City,UT,US,Rexburg Madison County Airport,Rexburg,ID,US,day,day,45,Tuesday,0
N481HC,2021-02-02,BE20,KBIL,Billings Logan Intl (KBIL),KSLC,Salt Lake City Intl (KSLC),04:07AM MST,05:41AM MST,1:33,387.27906884319987,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",45.807701110839844,-108.54299926757812,40.78839874267578,-111.97799682617188,Billings Logan International Airport,Billings,MT,US,Salt Lake City International Airport,Salt Lake City,UT,US,night,night,93,Tuesday,0
N481HC,2021-02-02,BE20,KSLC,Salt Lake City Intl (KSLC),KBIL,Billings Logan Intl (KBIL),12:45AM MST,02:04AM MST,1:18,387.27906884319987,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,45.807701110839844,-108.54299926757812,Salt Lake City International Airport,Salt Lake City,UT,US,Billings Logan International Airport,Billings,MT,US,night,night,78,Tuesday,0
N481HC,2021-02-01,BE20,KSGU,St George Rgnl (KSGU),KSLC,Salt Lake City Intl (KSLC),03:35PM MST,04:29PM MST,0:54,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,40.78839874267578,-111.97799682617188,St George Municipal Airport,St George,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,54,Monday,0
N481HC,2021-02-01,BE20,KSLC,Salt Lake City Intl (KSLC),KSGU,St George Rgnl (KSGU),12:11PM MST,01:22PM MST,1:10,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,37.036389,-113.510306,Salt Lake City International Airport,Salt Lake City,UT,US,St George Municipal Airport,St George,UT,US,day,day,70,Monday,0
N481HC,2021-02-01,BE20,KSGU,St George Rgnl (KSGU),KSLC,Salt Lake City Intl (KSLC),02:13AM MST,03:10AM MST,0:57,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,40.78839874267578,-111.97799682617188,St George Municipal Airport,St George,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,night,night,57,Monday,0
N481HC,2021-01-31,BE20,KSLC,Salt Lake City Intl (KSLC),KSGU,St George Rgnl (KSGU),11:37PM MST,12:40AM MST (+1),1:03,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,37.036389,-113.510306,Salt Lake City International Airport,Salt Lake City,UT,US,St George Municipal Airport,St George,UT,US,night,night,63,Sunday,1
N481HC,2021-01-31,BE20,KSGU,St George Rgnl (KSGU),KSLC,Salt Lake City Intl (KSLC),12:27AM MST,01:31AM MST,1:03,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,40.78839874267578,-111.97799682617188,St George Municipal Airport,St George,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,night,night,63,Sunday,1
N481HC,2021-01-30,BE20,KSLC,Salt Lake City Intl (KSLC),KSGU,St George Rgnl (KSGU),10:39PM MST,11:40PM MST,1:01,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,37.036389,-113.510306,Salt Lake City International Airport,Salt Lake City,UT,US,St George Municipal Airport,St George,UT,US,night,night,61,Saturday,1
N481HC,2021-01-30,BE20,KSGU,St George Rgnl (KSGU),KSLC,Salt Lake City Intl (KSLC),09:03PM MST,10:05PM MST,1:02,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,40.78839874267578,-111.97799682617188,St George Municipal Airport,St George,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,night,night,62,Saturday,1
N481HC,2021-01-30,BE20,KIGM,Kingman (KIGM),KSGU,St George Rgnl (KSGU),07:56PM MST,08:27PM MST,0:30,124.82604582301514,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",35.259498596191406,-113.93800354003906,37.036389,-113.510306,Kingman Airport,Kingman,AZ,US,St George Municipal Airport,St George,UT,US,night,night,30,Saturday,1
N481HC,2021-01-30,BE20,KSGU,St George Rgnl (KSGU),KIGM,Kingman (KIGM),06:21PM MST,06:53PM MST,0:31,124.82604582301514,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,35.259498596191406,-113.93800354003906,St George Municipal Airport,St George,UT,US,Kingman Airport,Kingman,AZ,US,day,day,31,Saturday,1
N481HC,2021-01-30,BE20,KSLC,Salt Lake City Intl (KSLC),KSGU,St George Rgnl (KSGU),04:39PM MST,05:38PM MST,0:58,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,37.036389,-113.510306,Salt Lake City International Airport,Salt Lake City,UT,US,St George Municipal Airport,St George,UT,US,day,day,58,Saturday,1
N481HC,2021-01-30,BE20,KCDC,Cedar City Rgnl (KCDC),KSLC,Salt Lake City Intl (KSLC),11:19AM MST,12:12PM MST,0:52,221.30324543251956,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.70100021362305,-113.0989990234375,40.78839874267578,-111.97799682617188,Cedar City Regional Airport,Cedar City,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,52,Saturday,1
N481HC,2021-01-30,BE20,KSLC,Salt Lake City Intl (KSLC),KCDC,Cedar City Rgnl (KCDC),07:33AM MST,08:25AM MST,0:51,221.30324543251956,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,37.70100021362305,-113.0989990234375,Salt Lake City International Airport,Salt Lake City,UT,US,Cedar City Regional Airport,Cedar City,UT,US,day,day,51,Saturday,1
N481HC,2021-01-30,BE20,KSLC,Salt Lake City Intl (KSLC),K74V,Roosevelt Muni (74V),05:27AM MST,06:04AM MST,0:36,107.37806622712841,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,40.278301,-110.051003,Salt Lake City International Airport,Salt Lake City,UT,US,Roosevelt Municipal Airport,Roosevelt,UT,US,night,night,36,Saturday,1
N481HC,2021-01-29,BE20,K74V,Roosevelt Muni (74V),KSLC,Salt Lake City Intl (KSLC),09:30PM MST,10:02PM MST,0:32,107.37806622712841,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.278301,-110.051003,40.78839874267578,-111.97799682617188,Roosevelt Municipal Airport,Roosevelt,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,night,night,32,Friday,0
N481HC,2021-01-29,BE20,KSLC,Salt Lake City Intl (KSLC),K74V,Roosevelt Muni (74V),08:17PM MST,09:01PM MST,0:44,107.37806622712841,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,40.278301,-110.051003,Salt Lake City International Airport,Salt Lake City,UT,US,Roosevelt Municipal Airport,Roosevelt,UT,US,night,night,44,Friday,0
N481HC,2021-01-29,BE20,KEMM,Kemmerer Muni (KEMM),KSLC,Salt Lake City Intl (KSLC),06:58PM MST,07:33PM MST,0:34,102.83705345660441,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",41.82410049439999,-110.556999207,40.78839874267578,-111.97799682617188,Kemmerer Municipal Airport,Kemmerer,WY,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,night,34,Friday,0
N481HC,2021-01-29,BE20,KSLC,Salt Lake City Intl (KSLC),KEMM,Kemmerer Muni (KEMM),05:17PM MST,05:47PM MST,0:29,102.83705345660441,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,41.82410049439999,-110.556999207,Salt Lake City International Airport,Salt Lake City,UT,US,Kemmerer Municipal Airport,Kemmerer,WY,US,day,day,29,Friday,0
N481HC,2021-01-29,BE20,KPVU,Provo Muni (KPVU),KSLC,Salt Lake City Intl (KSLC),01:43PM MST,02:04PM MST,0:20,41.50741058975575,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.219200134277,-111.72299957275,40.78839874267578,-111.97799682617188,Provo Municipal Airport,Provo,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,20,Friday,0
N481HC,2021-01-29,BE20,K74V,Roosevelt Muni (74V),KPVU,Provo Muni (KPVU),12:22PM MST,12:46PM MST,0:24,88.4882047757465,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.278301,-110.051003,40.219200134277,-111.72299957275,Roosevelt Municipal Airport,Roosevelt,UT,US,Provo Municipal Airport,Provo,UT,US,day,day,24,Friday,0
N481HC,2021-01-29,BE20,KSLC,Salt Lake City Intl (KSLC),K74V,Roosevelt Muni (74V),10:10AM MST,10:35AM MST,0:24,107.37806622712841,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,40.278301,-110.051003,Salt Lake City International Airport,Salt Lake City,UT,US,Roosevelt Municipal Airport,Roosevelt,UT,US,day,day,24,Friday,0
N481HC,2021-01-28,BE20,KIDA,Idaho Falls Rgnl (KIDA),KSLC,Salt Lake City Intl (KSLC),09:40AM MST,10:35AM MST,0:55,188.22177634653892,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",43.514599,-112.070999,40.78839874267578,-111.97799682617188,Idaho Falls Regional Airport,Idaho Falls,ID,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,55,Thursday,0
N481HC,2021-01-28,BE20,KSLC,Salt Lake City Intl (KSLC),KIDA,Idaho Falls Rgnl (KIDA),07:57AM MST,08:49AM MST,0:51,188.22177634653892,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,43.514599,-112.070999,Salt Lake City International Airport,Salt Lake City,UT,US,Idaho Falls Regional Airport,Idaho Falls,ID,US,day,day,51,Thursday,0
N481HC,2021-01-28,BE20,KEKO,Elko Rgnl (KEKO),KSLC,Salt Lake City Intl (KSLC),04:28AM PST,06:14AM MST,0:45,199.97456899800557,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.82490158081055,-115.79199981689452,40.78839874267578,-111.97799682617188,Elko Regional Airport,Elko,NV,US,Salt Lake City International Airport,Salt Lake City,UT,US,night,night,45,Thursday,0
N481HC,2021-01-28,BE20,KSLC,Salt Lake City Intl (KSLC),KEKO,Elko Rgnl (KEKO),02:42AM MST,02:40AM PST,0:57,199.97456899800557,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,40.82490158081055,-115.79199981689452,Salt Lake City International Airport,Salt Lake City,UT,US,Elko Regional Airport,Elko,NV,US,night,night,57,Thursday,0
N481HC,2021-01-27,BE20,KIDA,Idaho Falls Rgnl (KIDA),KSLC,Salt Lake City Intl (KSLC),09:13PM MST,10:02PM MST,0:48,188.22177634653892,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",43.514599,-112.070999,40.78839874267578,-111.97799682617188,Idaho Falls Regional Airport,Idaho Falls,ID,US,Salt Lake City International Airport,Salt Lake City,UT,US,night,night,48,Wednesday,0
N481HC,2021-01-27,BE20,KSLC,Salt Lake City Intl (KSLC),KIDA,Idaho Falls Rgnl (KIDA),04:40PM MST,05:30PM MST,0:49,188.22177634653892,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,43.514599,-112.070999,Salt Lake City International Airport,Salt Lake City,UT,US,Idaho Falls Regional Airport,Idaho Falls,ID,US,day,day,49,Wednesday,0
N481HC,2021-01-27,BE20,KSGU,St George Rgnl (KSGU),KSLC,Salt Lake City Intl (KSLC),03:06PM MST,04:07PM MST,1:00,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,40.78839874267578,-111.97799682617188,St George Municipal Airport,St George,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,60,Wednesday,0
N481HC,2021-01-27,BE20,KSLC,Salt Lake City Intl (KSLC),KSGU,St George Rgnl (KSGU),04:28AM MST,05:35AM MST,1:07,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,37.036389,-113.510306,Salt Lake City International Airport,Salt Lake City,UT,US,St George Municipal Airport,St George,UT,US,night,night,67,Wednesday,0
N481HC,2021-01-27,BE20,KEVW,Evanston-Uinta Co  (KEVW),KSLC,Salt Lake City Intl (KSLC),03:30AM MST,03:48AM MST,0:18,59.620227898121044,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",41.27479935,-111.0350037,40.78839874267578,-111.97799682617188,Evanston-Uinta County Airport-Burns Field,Evanston,WY,US,Salt Lake City International Airport,Salt Lake City,UT,US,night,night,18,Wednesday,0
N481HC,2021-01-27,BE20,KSLC,Salt Lake City Intl (KSLC),KSGU,St George Rgnl (KSGU),01:54AM MST,02:11AM MST,0:16,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,37.036389,-113.510306,Salt Lake City International Airport,Salt Lake City,UT,US,St George Municipal Airport,St George,UT,US,night,night,16,Wednesday,0
N481HC,2021-01-26,BE20,KU55,Panguitch Muni (U55),KSLC,Salt Lake City Intl (KSLC),10:47PM MST,11:40PM MST,0:53,204.24600511501683,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.84519958,-112.3919983,40.78839874267578,-111.97799682617188,Panguitch Municipal Airport,Panguitch,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,night,night,53,Tuesday,0
N481HC,2021-01-26,BE20,KSGU,St George Rgnl (KSGU),KU55,Panguitch Muni (U55),08:50PM MST,09:20PM MST,0:29,83.02115392332945,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,37.84519958,-112.3919983,St George Municipal Airport,St George,UT,US,Panguitch Municipal Airport,Panguitch,UT,US,night,night,29,Tuesday,0
N481HC,2021-01-26,BE20,KBDG,Blanding Muni (KBDG),KSGU,St George Rgnl (KSGU),06:37PM MST,07:38PM MST,1:00,225.0047321160369,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.58330154,-109.4830017,37.036389,-113.510306,Blanding Municipal Airport,Blanding,UT,US,St George Municipal Airport,St George,UT,US,day,night,60,Tuesday,0
N481HC,2021-01-26,BE20,KSGU,St George Rgnl (KSGU),KBDG,Blanding Muni (KBDG),04:36PM MST,05:27PM MST,0:50,225.0047321160369,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,37.58330154,-109.4830017,St George Municipal Airport,St George,UT,US,Blanding Municipal Airport,Blanding,UT,US,day,day,50,Tuesday,0
N481HC,2021-01-26,BE20,KPGA,Page Muni (KPGA),KSGU,St George Rgnl (KSGU),03:14AM MST,03:50AM MST,0:35,114.34371869633068,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",36.92610168,-111.447998,37.036389,-113.510306,Page Municipal Airport,Page,AZ,US,St George Municipal Airport,St George,UT,US,night,night,35,Tuesday,0
N481HC,2021-01-26,BE20,KSGU,St George Rgnl (KSGU),KPGA,Page Muni (KPGA),01:51AM MST,02:21AM MST,0:30,114.34371869633068,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,36.92610168,-111.447998,St George Municipal Airport,St George,UT,US,Page Municipal Airport,Page,AZ,US,night,night,30,Tuesday,0
N481HC,2021-01-26,BE20,KPGA,Page Muni (KPGA),KSGU,St George Rgnl (KSGU),12:36AM MST,01:12AM MST,0:35,114.34371869633068,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",36.92610168,-111.447998,37.036389,-113.510306,Page Municipal Airport,Page,AZ,US,St George Municipal Airport,St George,UT,US,night,night,35,Tuesday,0
N481HC,2021-01-25,BE20,KSGU,St George Rgnl (KSGU),KPGA,Page Muni (KPGA),11:11PM MST,11:40PM MST,0:29,114.34371869633068,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,36.92610168,-111.447998,St George Municipal Airport,St George,UT,US,Page Municipal Airport,Page,AZ,US,night,night,29,Monday,0
N481HC,2021-01-25,BE20,KPGA,Page Muni (KPGA),KSGU,St George Rgnl (KSGU),08:42PM MST,09:17PM MST,0:34,114.34371869633068,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",36.92610168,-111.447998,37.036389,-113.510306,Page Municipal Airport,Page,AZ,US,St George Municipal Airport,St George,UT,US,night,night,34,Monday,0
N481HC,2021-01-25,BE20,KSGU,St George Rgnl (KSGU),KPGA,Page Muni (KPGA),06:42PM MST,07:22PM MST,0:40,114.34371869633068,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,36.92610168,-111.447998,St George Municipal Airport,St George,UT,US,Page Municipal Airport,Page,AZ,US,day,night,40,Monday,0
N481HC,2021-01-25,BE20,KSLC,Salt Lake City Intl (KSLC),KSGU,St George Rgnl (KSGU),02:24PM MST,03:32PM MST,1:07,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,37.036389,-113.510306,Salt Lake City International Airport,Salt Lake City,UT,US,St George Municipal Airport,St George,UT,US,day,day,67,Monday,0
N481HC,2021-01-25,BE20,KEKO,Elko Rgnl (KEKO),KSLC,Salt Lake City Intl (KSLC),11:09AM PST,01:01PM MST,0:51,199.97456899800557,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.82490158081055,-115.79199981689452,40.78839874267578,-111.97799682617188,Elko Regional Airport,Elko,NV,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,51,Monday,0
N481HC,2021-01-25,BE20,KSLC,Salt Lake City Intl (KSLC),KEKO,Elko Rgnl (KEKO),09:36AM MST,09:25AM PST,0:49,199.97456899800557,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,40.82490158081055,-115.79199981689452,Salt Lake City International Airport,Salt Lake City,UT,US,Elko Regional Airport,Elko,NV,US,day,day,49,Monday,0
N481HC,2021-01-25,BE20,KPHX,Phoenix Sky Harbor Intl (KPHX),KSLC,Salt Lake City Intl (KSLC),06:23AM MST,08:06AM MST,1:43,507.141220714621,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",33.43429946899414,-112.01200103759766,40.78839874267578,-111.97799682617188,Phoenix Sky Harbor International Airport,Phoenix,AZ,US,Salt Lake City International Airport,Salt Lake City,UT,US,night,day,103,Monday,0
N481HC,2021-01-25,BE20,KPGA,Page Muni (KPGA),KPHX,Phoenix Sky Harbor Intl (KPHX),04:06AM MST,05:05AM MST,0:58,242.82157750391258,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",36.92610168,-111.447998,33.43429946899414,-112.01200103759766,Page Municipal Airport,Page,AZ,US,Phoenix Sky Harbor International Airport,Phoenix,AZ,US,night,night,58,Monday,0
N481HC,2021-01-25,BE20,KSLC,Salt Lake City Intl (KSLC),KPGA,Page Muni (KPGA),02:05AM MST,03:08AM MST,1:02,267.9494155629217,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,36.92610168,-111.447998,Salt Lake City International Airport,Salt Lake City,UT,US,Page Municipal Airport,Page,AZ,US,night,night,62,Monday,0
N481HC,2021-01-24,BE20,KEEO,Meeker Coulter Fld (KEEO),KSLC,Salt Lake City Intl (KSLC),02:45PM MST,03:42PM MST,0:57,221.72334051258215,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.04880142211914,-107.88600158691406,40.78839874267578,-111.97799682617188,Meeker Airport,Meeker,CO,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,57,Sunday,1
N481HC,2021-01-24,BE20,KSLC,Salt Lake City Intl (KSLC),KEEO,Meeker Coulter Fld (KEEO),12:46PM MST,01:46PM MST,0:59,221.72334051258215,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,40.04880142211914,-107.88600158691406,Salt Lake City International Airport,Salt Lake City,UT,US,Meeker Airport,Meeker,CO,US,day,day,59,Sunday,1
N481HC,2021-01-23,BE20,KEMM,Kemmerer Muni (KEMM),KSLC,Salt Lake City Intl (KSLC),06:55PM MST,07:29PM MST,0:34,102.83705345660441,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",41.82410049439999,-110.556999207,40.78839874267578,-111.97799682617188,Kemmerer Municipal Airport,Kemmerer,WY,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,night,34,Saturday,1
N481HC,2021-01-23,BE20,KSLC,Salt Lake City Intl (KSLC),KEMM,Kemmerer Muni (KEMM),06:19PM MST,06:45PM MST,0:26,102.83705345660441,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,41.82410049439999,-110.556999207,Salt Lake City International Airport,Salt Lake City,UT,US,Kemmerer Municipal Airport,Kemmerer,WY,US,day,day,26,Saturday,1
N481HC,2021-01-23,BE20,KLGU,Logan-Cache (KLGU),KSLC,Salt Lake City Intl (KSLC),04:01PM MST,04:28PM MST,0:27,69.51244493835354,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",41.7911987305,-111.851997375,40.78839874267578,-111.97799682617188,Logan-Cache Airport,Logan,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,27,Saturday,1
N481HC,2021-01-23,BE20,KSLC,Salt Lake City Intl (KSLC),KLGU,Logan-Cache (KLGU),01:57PM MST,02:58PM MST,1:00,69.51244493835354,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,41.7911987305,-111.851997375,Salt Lake City International Airport,Salt Lake City,UT,US,Logan-Cache Airport,Logan,UT,US,day,day,60,Saturday,1
N481HC,2021-01-23,BE20,KPVU,Provo Muni (KPVU),KSLC,Salt Lake City Intl (KSLC),12:21PM MST,12:43PM MST,0:21,41.50741058975575,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.219200134277,-111.72299957275,40.78839874267578,-111.97799682617188,Provo Municipal Airport,Provo,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,21,Saturday,1
N481HC,2021-01-23,BE20,KDTA,Delta Muni (KDTA),KPVU,Provo Muni (KPVU),09:56AM MST,10:25AM MST,0:29,71.36067457556706,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",39.3805999756,-112.508003235,40.219200134277,-111.72299957275,Delta Municipal Airport,Delta,UT,US,Provo Municipal Airport,Provo,UT,US,day,day,29,Saturday,1
N481HC,2021-01-23,BE20,KSLC,Salt Lake City Intl (KSLC),KDTA,Delta Muni (KDTA),07:59AM MST,08:26AM MST,0:27,101.10979342180113,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,39.3805999756,-112.508003235,Salt Lake City International Airport,Salt Lake City,UT,US,Delta Municipal Airport,Delta,UT,US,day,day,27,Saturday,1
N481HC,2021-01-22,BE20,KPVU,Provo Muni (KPVU),KSLC,Salt Lake City Intl (KSLC),11:58PM MST,12:10AM MST (+1),0:12,41.50741058975575,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.219200134277,-111.72299957275,40.78839874267578,-111.97799682617188,Provo Municipal Airport,Provo,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,night,night,12,Friday,0
N481HC,2021-01-22,BE20,KDTA,Delta Muni (KDTA),KPVU,Provo Muni (KPVU),11:03PM MST,11:26PM MST,0:23,71.36067457556706,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",39.3805999756,-112.508003235,40.219200134277,-111.72299957275,Delta Municipal Airport,Delta,UT,US,Provo Municipal Airport,Provo,UT,US,night,night,23,Friday,0
N481HC,2021-01-22,BE20,KSLC,Salt Lake City Intl (KSLC),KDTA,Delta Muni (KDTA),09:03PM MST,09:30PM MST,0:26,101.10979342180113,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,39.3805999756,-112.508003235,Salt Lake City International Airport,Salt Lake City,UT,US,Delta Municipal Airport,Delta,UT,US,night,night,26,Friday,0
